"id","tier","wins","losses","freshblood","rank"
4518,"SILVER",28,32,0,1
4519,"SILVER",5,4,0,1
4520,"SILVER",13,11,0,1
4521,"SILVER",22,24,0,1
4522,"SILVER",8,5,0,1
4523,"SILVER",15,20,0,1
4524,"SILVER",11,11,0,1
4525,"SILVER",15,12,0,1
4526,"SILVER",7,3,0,1
4527,"SILVER",11,7,0,1
4528,"SILVER",22,24,0,1
4529,"SILVER",9,1,0,1
4530,"SILVER",9,11,0,1
4531,"SILVER",18,16,0,1
4532,"SILVER",38,40,0,1
4533,"SILVER",14,17,0,1
4534,"SILVER",10,7,0,1
4535,"SILVER",19,16,0,1
4536,"SILVER",6,1,0,1
4537,"SILVER",24,20,0,1
4538,"SILVER",16,13,0,1
4539,"SILVER",20,22,0,1
4540,"SILVER",7,8,0,1
4541,"SILVER",16,10,0,1
4542,"SILVER",19,20,0,1
4543,"SILVER",14,14,0,1
4544,"SILVER",14,20,0,1
4545,"SILVER",12,9,0,1
4546,"SILVER",5,0,0,1
4547,"SILVER",8,6,0,1
4548,"SILVER",28,45,0,1
4549,"SILVER",32,31,0,1
4550,"SILVER",15,12,0,1
4551,"SILVER",20,29,0,1
4552,"SILVER",25,23,0,1
4553,"SILVER",16,15,0,1
4554,"SILVER",13,12,0,1
4555,"SILVER",29,31,0,1
4556,"SILVER",53,66,0,1
4557,"SILVER",18,15,0,1
4558,"SILVER",16,16,0,1
4559,"SILVER",14,11,0,1
4560,"SILVER",11,7,0,1
4561,"SILVER",43,47,0,1
4562,"SILVER",10,10,0,1
4563,"SILVER",17,16,0,1
4564,"SILVER",50,49,0,1
4565,"SILVER",7,4,0,1
4566,"SILVER",16,8,0,1
4567,"SILVER",20,30,0,1
4568,"SILVER",15,18,0,1
4569,"SILVER",19,18,0,1
4570,"SILVER",11,15,0,1
4571,"SILVER",9,0,0,1
4572,"SILVER",26,28,0,1
4573,"SILVER",7,10,0,1
4574,"SILVER",7,8,0,1
4575,"SILVER",11,11,0,1
4576,"SILVER",12,11,0,1
4577,"SILVER",12,13,0,1
4578,"SILVER",16,21,0,1
4579,"SILVER",15,11,0,1
4580,"SILVER",16,24,0,1
4581,"SILVER",6,0,0,1
4582,"SILVER",16,14,0,1
4583,"SILVER",89,96,0,1
4584,"SILVER",13,12,0,1
4585,"SILVER",18,23,0,1
4586,"SILVER",10,13,0,1
4587,"SILVER",17,19,0,1
4588,"SILVER",7,4,0,1
4589,"SILVER",26,34,0,1
4590,"SILVER",17,15,0,1
4591,"SILVER",13,14,0,1
4592,"SILVER",17,15,0,1
4593,"SILVER",15,15,0,1
4594,"SILVER",20,21,0,1
4595,"SILVER",10,11,0,1
4596,"SILVER",12,11,0,1
4597,"SILVER",12,12,0,1
4598,"SILVER",19,18,0,1
4599,"SILVER",16,23,0,1
4600,"SILVER",8,11,0,1
4601,"SILVER",16,19,0,1
4602,"SILVER",29,37,0,1
4603,"SILVER",10,9,0,1
4604,"SILVER",7,7,1,1
4605,"SILVER",13,12,0,1
4606,"SILVER",14,12,0,1
4607,"SILVER",34,36,0,1
4608,"SILVER",17,13,0,1
4609,"SILVER",8,7,0,1
4610,"SILVER",14,12,0,1
4611,"SILVER",23,20,0,1
4612,"SILVER",10,5,0,1
4613,"SILVER",12,13,0,1
4614,"SILVER",22,30,0,1
4615,"SILVER",15,19,0,1
4616,"SILVER",12,13,0,1
4617,"SILVER",24,28,0,1
4618,"SILVER",13,6,0,1
4619,"SILVER",10,9,0,1
4620,"SILVER",14,10,0,1
4621,"SILVER",9,8,0,1
4622,"SILVER",26,28,0,1
4623,"SILVER",10,5,0,1
4624,"SILVER",23,16,0,1
4625,"SILVER",26,27,0,1
4626,"SILVER",6,7,0,1
4627,"SILVER",22,26,0,1
4628,"SILVER",12,10,0,1
4629,"SILVER",30,31,0,1
4630,"SILVER",7,2,0,1
4631,"SILVER",10,9,0,1
4632,"SILVER",12,11,0,1
4633,"SILVER",10,11,1,1
4634,"SILVER",23,20,0,1
4635,"SILVER",16,12,1,1
4636,"SILVER",11,7,0,1
4637,"SILVER",11,6,0,1
4638,"SILVER",7,6,0,1
4639,"SILVER",13,10,0,1
4640,"SILVER",38,45,0,1
4641,"SILVER",13,12,0,1
4642,"SILVER",14,15,0,1
4643,"SILVER",14,4,1,1
4644,"SILVER",10,7,0,1
4645,"SILVER",12,11,0,1
4646,"SILVER",8,6,0,1
4647,"SILVER",12,9,0,1
4648,"SILVER",12,4,0,1
4649,"SILVER",20,23,0,1
4650,"SILVER",19,19,0,1
4651,"SILVER",11,8,0,1
4652,"SILVER",7,7,0,1
4653,"SILVER",10,8,0,1
4654,"SILVER",14,16,0,1
4655,"SILVER",13,14,0,1
4656,"SILVER",25,34,0,1
4657,"SILVER",9,4,0,1
4658,"SILVER",39,40,0,1
4659,"SILVER",16,20,0,1
4660,"SILVER",10,12,0,1
4661,"SILVER",29,25,0,1
4662,"SILVER",10,6,0,1
4663,"SILVER",11,5,0,1
4664,"SILVER",21,19,0,1
4665,"SILVER",24,29,0,1
4666,"SILVER",16,18,0,1
4667,"SILVER",25,33,0,1
4668,"SILVER",10,7,0,1
4669,"SILVER",18,26,0,1
4670,"SILVER",9,5,0,1
4671,"SILVER",60,74,0,1
4672,"SILVER",13,13,0,1
4673,"SILVER",22,15,0,1
4674,"SILVER",18,21,0,1
4675,"SILVER",13,13,0,1
4676,"SILVER",17,15,0,1
4677,"SILVER",8,10,0,1
4678,"SILVER",17,15,0,1
4679,"SILVER",15,11,0,1
4680,"SILVER",9,6,0,1
4681,"SILVER",18,20,0,1
4682,"SILVER",28,29,0,1
4683,"SILVER",13,18,0,1
4684,"SILVER",8,12,0,1
4685,"SILVER",28,40,0,1
4686,"SILVER",5,4,0,1
4687,"SILVER",8,8,0,1
4688,"SILVER",22,27,0,1
4689,"SILVER",20,17,0,1
4690,"SILVER",4,3,0,1
4691,"SILVER",15,15,0,1
4692,"SILVER",30,30,0,1
4693,"SILVER",16,14,0,1
4694,"SILVER",16,15,0,1
4695,"SILVER",13,12,0,1
4696,"SILVER",10,9,0,1
4697,"SILVER",9,7,1,1
4698,"SILVER",12,6,1,1
4699,"SILVER",8,3,0,1
4700,"SILVER",10,7,0,1
4701,"SILVER",24,27,0,1
4702,"SILVER",6,3,0,1
4703,"SILVER",25,23,0,1
4704,"SILVER",16,18,0,1
4705,"SILVER",28,27,0,1
4706,"SILVER",54,55,0,1
4707,"SILVER",15,21,0,1
4708,"SILVER",6,2,1,1
4709,"SILVER",15,13,0,1
4710,"SILVER",14,17,1,1
4711,"SILVER",14,14,0,1
4712,"SILVER",20,18,0,1
4713,"SILVER",12,6,0,1
4714,"SILVER",21,18,0,1
4715,"SILVER",18,17,0,1
4716,"SILVER",11,13,0,1
4717,"SILVER",7,5,0,1
4718,"SILVER",4,2,0,1
4719,"SILVER",16,16,0,1
4720,"SILVER",65,65,0,1
4721,"SILVER",33,36,0,1
4722,"SILVER",16,18,0,1
4723,"SILVER",18,21,0,2
4724,"SILVER",9,9,0,2
4725,"SILVER",16,21,0,2
4726,"SILVER",7,6,0,2
4727,"SILVER",7,2,0,2
